"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"480","Slow","WEB","0","A","grade2","Lon All",78," AC",14,3,0,"B","NO","NO","Mr","NO","0","2018","1",26,"Friday","2019","7",26,"Friday","Business_Hour","afternoon","summer","M"
"481","Slow","WEB","0","A","grade2","Lon All",21," AC",7,4,0,"None Required","YES","YES","Mr","NO","0","2018","1",26,"Friday","2018","6",23,"Saturday","Business_Hour","morning","summer","M"
"482","Slow","WEB","0","A","grade1","Lon Gat",63," AC",14,4,2,"A","YES","YES","Mrs","NO","0","2018","1",27,"Saturday","2019","4",8,"Monday","Business_Hour","morning","spring","F"
"483","Slow","WEB","0","B","grade2","MCH",81," AB",14,3,1,"B","YES","YES","Mr","NO","0","2018","1",27,"Saturday","2019","8",14,"Wednesday","Business_Hour","morning","summer","M"
"484","Slow","WEB","0","E","None","BH",29," AC",14,4,0,"A","NO","NO","Mr","NO","0","2018","1",27,"Saturday","2018","8",16,"Thursday","Business_Hour","morning","summer","M"
"485","Slow","WEB","0","A","grade3","Lon Gat",8," AC",15,2,2,"A","NO","NO","Mr","NO","0","2018","1",28,"Sunday","2018","3",30,"Friday","Business_Hour","afternoon","spring","M"
"486","Fast","WEB","0","E","None","Lon All",78," AB",14,5,2,"A","NO","NO","Miss","NO","0","2018","1",28,"Sunday","2019","8",1,"Thursday","Business_Hour","afternoon","summer","F"
"487","Fast","PHONE","0","E","None","MCH",23," AB",11,2,0,"A","NO","NO","Mrs","NO","1","2018","1",29,"Monday","2018","7",12,"Thursday","Business_Hour","morning","summer","F"
"488","Extremely Fast","WEB","1","A","grade2","OTHER",36," AC",14,2,1,"B","NO","NO","Mrs","NO","0","2018","1",29,"Monday","2018","10",10,"Wednesday","Closed","morning","fall","F"
"489","Slow","WEB","0","A","grade1","GG",38," AC",13,6,3,"A","YES","YES","Mr","NO","0","2018","1",29,"Monday","2018","10",25,"Thursday","Business_Hour","afternoon","fall","M"
"490","Slow","WEB","1","A","grade2","Lon All",68," AC",10,2,2,"B","NO","NO","Mr","NO","0","2018","1",29,"Monday","2019","5",20,"Monday","Business_Hour","afternoon","spring","M"
"491","Extremely Fast","WEB","0","A","grade3","Lon All",61," AC",14,6,4,"B","NO","NO","Mrs","NO","0","2018","1",30,"Tuesday","2019","4",2,"Tuesday","Business_Hour","afternoon","spring","F"
"492","Slow","WEB","1","A","grade1","Lon All",62," JH Area",14,2,3,"A","NO","NO","Mr","NO","0","2018","1",30,"Tuesday","2019","4",9,"Tuesday","Business_Hour","morning","spring","M"
"493","Slow","WEB","0","A","grade1","MCH",64," AC",14,7,0,"A","NO","NO","Mr","NO","0","2018","1",30,"Tuesday","2019","4",26,"Friday","Business_Hour","afternoon","spring","M"
"494","Slow","WEB","0","A","grade1","Lon All",23," AB",14,5,1,"A","NO","NO","Mr","NO","0","2018","1",30,"Tuesday","2018","7",13,"Friday","Business_Hour","night","summer","M"
"495","Slow","WEB","1","A","grade1","Lon All",25," AC",12,3,0,"A","NO","NO","Mr","NO","0","2018","1",31,"Wednesday","2018","7",23,"Monday","Closed","morning","summer","M"
"496","Slow","WEB","0","B","grade2","GG",58," CC City",10,2,0,"None Required","YES","YES","Mr","NO","0","2018","2",2,"Friday","2019","3",11,"Monday","Business_Hour","morning","spring","M"
"497","Fast","PHONE","1","E","None","Lon All",38,"OTHER",13,2,1,"A","NO","NO","Ms","NO","1","2018","2",4,"Sunday","2018","10",28,"Sunday","Business_Hour","afternoon","fall","F"
"498","Fast","PHONE","0","A","grade2","MCH",27," AC",10,3,2,"None Required","NO","NO","Mrs","NO","1","2018","2",4,"Sunday","2018","8",15,"Wednesday","Business_Hour","morning","summer","F"
"499","Extremely Fast","WEB","0","A","grade1","Lon All",27,"OTHER",14,4,0,"A","YES","YES","Mrs","NO","1","2018","2",4,"Sunday","2018","8",13,"Monday","Business_Hour","morning","summer","F"
"500","Slow","WEB","1","E","None","Lon All",21," AB",12,3,0,"None Required","NO","NO","Mr","NO","0","2018","2",4,"Sunday","2018","7",7,"Saturday","Business_Hour","afternoon","summer","M"
"501","Fast","PHONE","0","D","grade2","OTHER",35," AC",14,4,1,"B","YES","YES","Ms","NO","1","2018","2",5,"Monday","2018","10",8,"Monday","Business_Hour","morning","fall","F"
"502","Extremely Fast","PHONE","1","A","grade1","Lon All",48," AC",10,4,0,"A","YES","YES","Mrs","NO","1","2018","2",5,"Monday","2019","1",7,"Monday","Business_Hour","afternoon","winter","F"
"503","Extremely Fast","WEB","0","B","grade1","Lon All",24," AC",7,4,0,"None Required","NO","NO","Mrs","NO","1","2018","2",6,"Tuesday","2018","7",24,"Tuesday","Business_Hour","morning","summer","F"
"504","Slow","WEB","1","A","grade2","MCH",24," AC",14,4,0,"None Required","NO","NO","Mrs","NO","0","2018","2",6,"Tuesday","2018","7",24,"Tuesday","Business_Hour","morning","summer","F"
"505","Extremely Fast","PHONE","0","A","grade1","MCH",25," AB",14,4,2,"A","NO","NO","Mrs","NO","1","2018","2",7,"Wednesday","2018","8",1,"Wednesday","Business_Hour","morning","summer","F"
"506","Extremely Fast","WEB","0","A","grade1","OTHER",20," AC",14,4,0,"A","YES","YES","Mrs","NO","1","2018","2",7,"Wednesday","2018","6",26,"Tuesday","Closed","morning","summer","F"
"507","Slow","WEB","1","A","grade1","GG",72," AB",14,2,1,"A","NO","NO","Mrs","NO","0","2018","2",7,"Wednesday","2019","6",29,"Saturday","Business_Hour","morning","summer","F"
"508","Slow","WEB","1","A","grade2","Lon All",28," AB",15,1,1,"A","NO","NO","Mr","NO","0","2018","2",8,"Thursday","2018","8",20,"Monday","Business_Hour","afternoon","summer","M"
"509","Slow","WEB","1","E","None","Lon All",67," AC",14,3,0,"A","NO","NO","Mr","NO","0","2018","2",9,"Friday","2019","5",22,"Wednesday","Business_Hour","morning","spring","M"
"510","Fast","PHONE","0","E","None","MCH",79," AC",14,4,1,"A","NO","NO","Mrs","NO","1","2018","2",11,"Sunday","2019","8",20,"Tuesday","Business_Hour","morning","summer","F"
"511","Slow","WEB","1","E","None","MCH",26," LH",14,2,0,"A","NO","NO","Mr","NO","0","2018","2",12,"Monday","2018","8",13,"Monday","Business_Hour","afternoon","summer","M"
"512","Extremely Fast","PHONE","0","A","grade1","OTHER",18," AC",21,3,1,"None Required","NO","NO","Mrs","NO","1","2018","2",13,"Tuesday","2018","6",22,"Friday","Business_Hour","morning","summer","F"
"513","Slow","WEB","1","A","grade2","MCH",76," AC",14,4,1,"A","NO","NO","Mrs","NO","0","2018","2",14,"Wednesday","2019","7",30,"Tuesday","Business_Hour","morning","summer","F"
"514","Extremely Fast","PHONE","0","A","grade2","OTHER",86," AC",14,6,3,"B","NO","NO","Mrs","NO","1","2018","2",15,"Thursday","2019","10",7,"Monday","Business_Hour","afternoon","fall","F"
"515","Extremely Fast","WEB","0","A","grade2","Any Airport",74," AC",14,4,1,"None Required","NO","NO","Mrs","NO","1","2018","2",15,"Thursday","2019","7",17,"Wednesday","Business_Hour","morning","summer","F"
"516","Slow","WEB","1","D","grade1","Lon All",58," AC",14,4,3,"A","NO","NO","Mr","NO","0","2018","2",15,"Thursday","2019","3",30,"Saturday","Closed","morning","spring","M"
"517","Slow","WEB","1","E","None","Lon All",24," AB",21,2,2,"A","NO","NO","Mr","NO","0","2018","2",16,"Friday","2018","8",4,"Saturday","Business_Hour","afternoon","summer","M"
"518","Fast","PHONE","0","B","grade2","MCH",24," CC City",13,2,2,"A","NO","NO","Mrs","NO","1","2018","2",17,"Saturday","2018","8",4,"Saturday","Business_Hour","morning","summer","F"
"519","Fast","PHONE","1","C","grade1","Any Airport",25," AC",14,4,1,"A","NO","NO","Mrs","NO","1","2018","2",18,"Sunday","2018","8",16,"Thursday","Business_Hour","afternoon","summer","F"
"520","Fast","WEB","0","B","grade2","MCH",39," SF",14,4,0,"B","NO","NO","Miss","NO","0","2018","2",19,"Monday","2018","11",24,"Saturday","Business_Hour","afternoon","fall","F"
"521","Extremely Fast","WEB","1","A","grade2","MCH",88," AB",14,2,0,"B","NO","NO","Mrs","NO","0","2018","2",21,"Wednesday","2019","10",27,"Sunday","Closed","morning","fall","F"
"522","Slow","WEB","0","A","grade2","Any Airport",24," AA Resort",21,2,0,"None Required","YES","YES","Mrs","NO","0","2018","2",22,"Thursday","2018","8",5,"Sunday","Business_Hour","afternoon","summer","F"
"523","Slow","WEB","1","A","grade1","MCH",59," AC",14,4,1,"A","NO","NO","Mrs","NO","0","2018","2",23,"Friday","2019","4",12,"Friday","Business_Hour","morning","spring","F"
"524","Fast","WEB","1","A","grade2","Lon All",24," AB",18,3,0,"A","NO","NO","Miss","NO","0","2018","2",24,"Saturday","2018","8",10,"Friday","Business_Hour","afternoon","summer","F"
"525","Extremely Fast","PHONE","1","A","grade2","Lon Gat",91," AB",14,2,2,"B","NO","NO","Mrs","NO","1","2018","2",25,"Sunday","2019","11",30,"Saturday","Business_Hour","afternoon","fall","F"
"526","Extremely Fast","WEB","0","A","grade1","BH",43," AC",14,3,2,"A","NO","NO","Mrs","NO","0","2018","2",25,"Sunday","2018","12",24,"Monday","Closed","morning","winter","F"
"527","Slow","WEB","1","A","grade2","Lon All",3," AB",7,2,2,"B","YES","YES","Miss","NO","0","2018","2",25,"Sunday","2018","3",24,"Saturday","Business_Hour","afternoon","spring","F"
"528","Slow","WEB","1","E","None","Lon All",22," AC",14,NA,2,"A","NO","NO","Miss","NO","0","2018","2",25,"Sunday","2018","8",3,"Friday","Business_Hour","morning","summer","F"
"529","Slow","WEB","1","B","grade2","Lon All",49,"OTHER",3,2,0,"None Required","NO","NO","Mr","NO","0","2018","2",27,"Tuesday","2019","2",8,"Friday","Business_Hour","afternoon","winter","M"
"530","Slow","WEB","0","A","grade2","Lon All",29," AA Resort",10,2,0,"B","NO","NO","Mr","NO","0","2018","2",28,"Wednesday","2018","9",17,"Monday","Business_Hour","afternoon","fall","M"
"531","Slow","WEB","0","A","grade2","MCH",23," AB",14,1,1,"B","NO","NO","Mr","NO","0","2018","3",3,"Saturday","2018","8",9,"Thursday","Business_Hour","morning","summer","M"
"532","Fast","PHONE","0","A","grade2","MCH",100,"OTHER",10,2,0,"B","NO","NO","Mrs","NO","1","2018","3",4,"Sunday","2020","2",6,"Thursday","Business_Hour","afternoon","winter","F"
"533","Extremely Fast","PHONE","0","A","grade2","Lon All",74," AC",17,3,2,"A","NO","NO","Mrs","NO","1","2018","3",4,"Sunday","2019","8",8,"Thursday","Business_Hour","morning","summer","F"
"534","Extremely Fast","WEB","0","A","grade2","MCH",24," NM AB Resort",14,3,0,"B","NO","NO","Mrs","NO","1","2018","3",4,"Sunday","2018","8",21,"Tuesday","Business_Hour","morning","summer","F"
"535","Slow","WEB","1","A","grade1","Lon All",84," AC",14,5,3,"A","NO","NO","Miss","NO","0","2018","3",4,"Sunday","2019","10",15,"Tuesday","Business_Hour","afternoon","fall","F"
"536","Slow","WEB","0","A","grade3","GG",82," AB",10,2,1,"A","YES","YES","Miss","NO","0","2018","3",6,"Tuesday","2019","10",3,"Thursday","Business_Hour","afternoon","fall","F"
